Employee_ID,Department,Base_Salary,Bonus,Commission,Total_Comp,Benefits_Percent,Tax_Rate,Satisfaction
E001,Sales,$45000,$3500,$8200,$56700,12.5%,22.0%,78%
E002,Engineering,$72000,$7200,$0,$79200,15.2%,28.5%,85%
E003,Marketing,$52000,$4100,$2500,$58600,13.8%,24.0%,82%
E004,Sales,$48000,$4000,$9500,$61500,12.5%,24.5%,80%
E005,Engineering,$85000,$9500,$0,$94500,16.1%,32.0%,88%
E006,HR,$55000,$4500,$0,$59500,14.2%,24.5%,75%
E007,Sales,$42000,$3200,$7800,$53000,12.5%,21.5%,77%
E008,Engineering,$68000,$6500,$0,$74500,15.2%,27.0%,83%
E009,Marketing,$58000,$5200,$3200,$66400,13.8%,26.0%,84%
E010,Finance,$62000,$5800,$0,$67800,14.5%,26.5%,81%
E011,Sales,$50000,$4500,$10200,$64700,12.5%,25.0%,79%
E012,Engineering,$78000,$8200,$0,$86200,15.8%,30.0%,86%
E013,Operations,$48000,$3800,$0,$51800,13.2%,22.5%,73%
E014,Marketing,$56000,$4800,$2800,$63600,13.8%,25.5%,83%
E015,Sales,$46000,$3800,$8900,$58700,12.5%,23.5%,81%
E016,Engineering,$90000,$11000,$0,$101000,16.5%,33.5%,90%
E017,HR,$52000,$4200,$0,$56200,14.2%,23.5%,76%
E018,Finance,$65000,$6200,$0,$71200,14.5%,27.5%,82%
E019,Sales,$44000,$3400,$7500,$54900,12.5%,22.5%,78%
E020,Engineering,$74000,$7800,$0,$81800,15.5%,29.0%,84%
E021,Marketing,$60000,$5500,$3500,$69000,13.8%,26.5%,85%
E022,Operations,$51000,$4100,$0,$55100,13.2%,23.0%,74%
E023,Sales,$49000,$4200,$9800,$63000,12.5%,24.8%,80%
E024,Engineering,$82000,$8800,$0,$90800,16.0%,31.0%,87%
E025,Finance,$68000,$6500,$0,$74500,14.5%,28.0%,83%
E026,HR,$58000,$4800,$0,$62800,14.2%,25.0%,77%
E027,Sales,$47000,$3900,$8500,$59400,12.5%,23.8%,79%
E028,Engineering,$76000,$7500,$0,$83500,15.5%,29.5%,85%
E029,Marketing,$54000,$4600,$2900,$61500,13.8%,25.0%,82%
E030,Operations,$49000,$3900,$0,$52900,13.2%,22.8%,73%
E031,Sales,$51000,$4600,$10500,$66100,12.5%,25.5%,81%
E032,Engineering,$88000,$10200,$0,$98200,16.2%,32.5%,89%
E033,Finance,$70000,$6800,$0,$76800,14.5%,28.5%,84%
E034,Marketing,$62000,$5800,$3800,$71600,13.8%,27.0%,86%
E035,HR,$56000,$4600,$0,$60600,14.2%,24.5%,78%
E036,Sales,$43000,$3300,$7200,$53500,12.5%,22.2%,77%
E037,Engineering,$72000,$7200,$0,$79200,15.2%,28.5%,84%
E038,Operations,$52000,$4200,$0,$56200,13.2%,23.5%,75%
E039,Marketing,$59000,$5400,$3300,$67700,13.8%,26.2%,84%
E040,Sales,$48500,$4100,$9200,$61800,12.5%,24.5%,80%
E041,Engineering,$84000,$9200,$0,$93200,16.0%,31.5%,88%
E042,Finance,$66000,$6300,$0,$72300,14.5%,27.8%,83%
E043,HR,$54000,$4400,$0,$58400,14.2%,24.0%,76%
E044,Sales,$45500,$3700,$8100,$57300,12.5%,23.0%,78%
E045,Engineering,$80000,$8500,$0,$88500,15.8%,30.5%,87%
E046,Marketing,$57000,$5100,$3100,$65200,13.8%,25.8%,83%
E047,Operations,$50000,$4000,$0,$54000,13.2%,23.0%,74%
E048,Sales,$52000,$4800,$11000,$67800,12.5%,26.0%,82%
E049,Engineering,$86000,$9800,$0,$95800,16.1%,32.0%,88%
E050,Finance,$72000,$7000,$0,$79000,14.5%,29.0%,85%
