Project_ID,Phase,Allocated_Budget,Spent,Remaining,Completion,Efficiency,Risk_Level
P001,Planning,$25000,$18500,$6500,74%,92%,15%
P001,Design,$35000,$32100,$2900,91.7%,95%,8%
P001,Development,$120000,$98400,$21600,82%,88%,12%
P001,Testing,$28000,$24200,$3800,86.4%,91%,10%
P001,Deployment,$18000,$17100,$900,95%,97%,5%
P002,Planning,$32000,$28800,$3200,90%,94%,9%
P002,Design,$42000,$39900,$2100,95%,96%,6%
P002,Development,$155000,$139500,$15500,90%,92%,8%
P002,Testing,$35000,$31500,$3500,90%,93%,7%
P002,Deployment,$22000,$20900,$1100,95%,96%,5%
P003,Planning,$28000,$25200,$2800,90%,93%,10%
P003,Design,$38000,$34200,$3800,90%,92%,11%
P003,Development,$135000,$115000,$20000,85.2%,87%,13%
P003,Testing,$32000,$27200,$4800,85%,89%,11%
P003,Deployment,$20000,$18600,$1400,93%,95%,7%
P004,Planning,$30000,$24000,$6000,80%,86%,18%
P004,Design,$40000,$36000,$4000,90%,91%,10%
P004,Development,$145000,$130500,$14500,90%,91%,9%
P004,Testing,$33000,$29700,$3300,90%,92%,8%
P004,Deployment,$21000,$19950,$1050,95%,96%,5%
P005,Planning,$26000,$22100,$3900,85%,89%,14%
P005,Design,$36000,$32400,$3600,90%,91%,10%
P005,Development,$125000,$106250,$18750,85%,87%,13%
P005,Testing,$30000,$25500,$4500,85%,88%,12%
P005,Deployment,$19000,$18050,$950,95%,96%,5%
P006,Planning,$34000,$30600,$3400,90%,93%,9%
P006,Design,$44000,$41800,$2200,95%,96%,6%
P006,Development,$165000,$148500,$16500,90%,91%,9%
P006,Testing,$38000,$34200,$3800,90%,92%,8%
P006,Deployment,$24000,$22800,$1200,95%,96%,5%
P007,Planning,$29000,$24650,$4350,85%,88%,15%
P007,Design,$39000,$35100,$3900,90%,91%,10%
P007,Development,$140000,$119000,$21000,85%,87%,13%
P007,Testing,$34000,$28900,$5100,85%,88%,12%
P007,Deployment,$21500,$20425,$1075,95%,96%,5%
P008,Planning,$31000,$27900,$3100,90%,93%,9%
P008,Design,$41000,$38950,$2050,95%,96%,6%
P008,Development,$150000,$135000,$15000,90%,91%,9%
P008,Testing,$36000,$32400,$3600,90%,92%,8%
P008,Deployment,$23000,$21850,$1150,95%,96%,5%
P009,Planning,$27000,$22950,$4050,85%,88%,15%
P009,Design,$37000,$33300,$3700,90%,91%,10%
P009,Development,$130000,$110500,$19500,85%,87%,13%
P009,Testing,$31000,$26350,$4650,85%,88%,12%
P009,Deployment,$19500,$18525,$975,95%,96%,5%
P010,Planning,$33000,$29700,$3300,90%,93%,9%
P010,Design,$43000,$40850,$2150,95%,96%,6%
P010,Development,$160000,$144000,$16000,90%,91%,9%
P010,Testing,$37000,$33300,$3700,90%,92%,8%
P010,Deployment,$23500,$22325,$1175,95%,96%,5%
